iter	Passed	Remaining
936	18994	11412
937	19023	11397
938	19029	11368
939	19044	11345
940	19058	11321
941	19070	11296
942	19086	11273
943	19091	11244
944	19109	11223
945	19113	11193
946	19123	11167
947	19134	11141
948	19146	11116
949	19153	11088
950	19174	11069
951	19180	11040
952	19193	11016
953	19214	10997
954	19229	10973
955	19237	10947
956	19253	10924
957	19264	10898
958	19281	10877
959	19289	10850
960	19305	10827
961	19320	10805
962	19329	10779
963	19349	10758
964	19367	10737
965	19376	10711
966	19392	10688
967	19400	10662
968	19408	10635
969	19423	10613
970	19456	10599
971	19471	10577
972	19483	10552
973	19499	10530
974	19507	10504
975	19515	10477
976	19530	10455
977	19541	10429
978	19555	10406
979	19575	10386
980	19583	10360
981	19598	10338
982	19608	10312
983	19623	10290
984	19638	10267
985	19658	10248
986	19666	10221
987	19682	10199
988	19694	10175
989	19713	10155
990	19730	10134
991	19741	10109
992	19754	10086
993	19770	10064
994	19785	10041
995	19794	10016
996	19821	10000
997	19826	9972
998	19837	9948
999	19849	9924
1000	19866	9903
1001	19887	9884
1002	19917	9869
1003	19934	9848
1004	19956	9829
1005	19973	9807
1006	20008	9795
1007	20043	9783
1008	20072	9767
1009	20095	9749
1010	20119	9731
1011	20141	9712
1012	20160	9692
1013	20175	9670
1014	20196	9650
1015	20214	9629
1016	20237	9611
1017	20283	9603
1018	20296	9580
1019	20322	9563
1020	20349	9546
1021	20370	9527
1022	20394	9509
1023	20423	9493
1024	20456	9479
1025	20477	9460
1026	20505	9444
1027	20526	9424
1028	20547	9404
1029	20571	9387
1030	20591	9366
1031	20608	9345
1032	20631	9327
1033	20668	9314
1034	20695	9297
1035	20719	9279
1036	20801	9287
1037	20823	9268
1038	20887	9267
1039	20908	9248
1040	20929	9228
1041	20947	9207
1042	20966	9186
1043	21003	9174
1044	21059	9169
1045	21104	9160
1046	21227	9184
1047	21271	9174
1048	21285	9151
1049	21317	9136
1050	21341	9117
1051	21386	9107
1052	21400	9084
1053	21468	9084
1054	21514	9074
1055	21544	9058
1056	21585	9046
1057	21620	9032
1058	21637	9010
1059	21675	8997
1060	21698	8978
1061	21723	8959
1062	21748	8940
1063	21775	8923
1064	21792	8901
1065	21816	8882
1066	21836	8861
1067	21854	8840
1068	21874	8819
1069	21911	8805
1070	21945	8790
1071	21968	8771
1072	22007	8757
1073	22024	8736
1074	22048	8716
1075	22076	8699
1076	22097	8679
1077	22123	8660
1078	22141	8638
1079	22167	8620
1080	22190	8601
1081	22218	8583
1082	22241	8563
1083	22282	8551
1084	22302	8530
1085	22323	8509
1086	22344	8489
1087	22353	8464
1088	22380	8446
1089	22391	8422
1090	22401	8397
1091	22427	8379
1092	22435	8354
1093	22448	8330
1094	22463	8308
1095	22479	8286
1096	22495	8263
1097	22523	8246
1098	22535	8222
1099	22559	8203
1100	22574	8180
1101	22587	8157
1102	22605	8136
1103	22624	8115
1104	22643	8094
1105	22670	8075
1106	22682	8052
1107	22691	8028
1108	22705	8005
1109	22720	7982
1110	22743	7963
1111	22755	7939
1112	22766	7916
1113	22812	7904
1114	22833	7884
1115	22848	7861
1116	22866	7840
1117	22880	7817
1118	22888	7793
1119	22909	7772
1120	22933	7753
1121	22952	7732
1122	22968	7710
1123	22988	7690
1124	23005	7668
1125	23028	7648
1126	23039	7625
1127	23056	7603
1128	23073	7582
1129	23089	7560
1130	23107	7539
1131	23122	7516
1132	23143	7496
1133	23154	7473
1134	23161	7448
1135	23183	7428
1136	23194	7405
1137	23209	7383
1138	23228	7362
1139	23240	7339
1140	23286	7326
1141	23298	7303
1142	23336	7288
1143	23347	7265
1144	23370	7245
1145	23378	7221
1146	23398	7201
1147	23418	7180
1148	23447	7162
1149	23462	7140
1150	23494	7123
1151	23519	7104
1152	23527	7080
1153	23561	7064
1154	23593	7047
1155	23609	7025
1156	23621	7002
1157	23642	6982
1158	23656	6960
1159	23689	6943
1160	23705	6921
1161	23732	6903
1162	23744	6880
1163	23760	6858
1164	23770	6835
1165	23796	6816
